doc,no,char,ids,evi,ref,comment
1811,8-118,𩍘,,,K6-1075,repertoire
1811,8-119,𩊓,,,K6-1076,repertoire
1811,8-120,鞨,,,K6-1077,repertoire
1811,8-121,䪿,,,K6-1078,repertoire
1811,8-122,𩓐,,,K6-1079,repertoire
1811,8-123,𩟐,,,K6-107A,repertoire
1811,8-124,飲,,,K6-107B,repertoire
1811,8-125,𩜵,,,K6-107C,repertoire
1811,8-126,𩜶,,,K6-107D,repertoire
1811,8-127,𩜼,,,K6-107E,repertoire
1811,9-128,𩥮,,,K6-107F,repertoire
1811,9-129,𩦷,,,K6-1080,repertoire
1811,9-130,驝,,,K6-1081,repertoire
1811,9-131,𩢷,,,K6-1082,repertoire
1811,9-132,䯪,,,K6-1083,repertoire
1811,9-133,䰐,,,K6-1084,repertoire
1811,9-134,䱶,,,K6-1085,repertoire
1811,9-135,𩻛,,,K6-1086,repertoire
1811,9-136,𩻣,,,K6-1087,repertoire
1811,9-137,鯮,,,K6-1088,repertoire
1811,9-138,𪃿,,,K6-1089,repertoire
1811,9-139,䳺,,,K6-108A,repertoire
1811,9-140,鷙,,,K6-108B,repertoire
1811,9-141,𪆁,,,K6-108C,repertoire
1811,9-142,𩾚,,,K6-108D,repertoire
1811,9-143,𩿨,,,K6-108E,repertoire
1811,9-144,𪀗,,,K6-108F,repertoire
1811,9-145,䳓,,,K6-1090,repertoire
1811,10-146,𪁿,,,K6-1091,repertoire
1811,10-147,黋,,,K6-1092,repertoire
1811,10-148,𪑩,,,K6-1093,repertoire
1811,10-149,𪓐,,,K6-1094,repertoire
1811,10-150,𪓟,,,K6-1095,repertoire
1811,10-151,𪚰,,,K6-1096,repertoire
1811,10-152,郎,,,K6-0000,repertoire
1811,10-153,驇,,,K6-0001,repertoire
1811,10-154,慎,,,K6-0002,repertoire
1811,10-155,𠿒,,,K6-0003,repertoire
1812,1-1,𣗱,,,V0-354D,V glyph update
1819,1-1,𠏝,,,K4-000D,K glyph update
1819,1-2,𥕦,,,K4-008A,K glyph update
1837,2-1,𣗱,,,V0-354D,V glyph update
1837,3-1,𨖙,,,V4-5565,keep unify
1837,3-2,𠢅,,,T5-3669,keep unify
1837,4-1,𡼒,,,T5-4C6E,T move 𡼒 to 𡼬
1837,5-1,𤪊,,,V2-7C66,keep unify
1837,5-2,𤼕,,,V2-7D5A,keep unify
1837,6-1,𥂉,,,V2-7D6B,keep unify
1837,6-2,𪛀,,,GKX-1538.20,keep unify
1837,7-1,𢤶,,,T5-6777,keep unify
1837,7-2,𨌡,,,T6-632A,keep unify
1837,8-1,𢮣,,,GKX-0440.17,keep unify
1837,8-2,𣀣,,,T5-6C34,keep unify
1837,9-1,𤈩,,,GKX-0672.02,keep unify
1837,10-1,𧷵,,,T7-4350,no change
1837,10-2,𩻴,,,GHZ-74714.09,no change
1837,10-3,𡒍,,,T7-373F,no change
1837,10-4,𧃒,,,GKX-1069.21,no change
1837,11-1,𩵜,,,V0-4822,no change
1837,11-2,𦐯,,,T6-4D30,no change
1837,11-3,𦒇,,,T7-4871,no change
1837,12-1,𧃰,,,T7-5876,no change
1837,12-2,𧓟,,,T7-5477,no change
1837,12-3,𩲛,,,T6-646C,T glyph update
1837,13-1,𢴕,,,V2-7753,no change
1837,13-2,𤡘,,,GHZ-21366.09,no change
1837,13-3,𦬽,,,GKX-1025.08,no change
1838,1-1,𣠬,,,TF-6951,keep unify
1838,1-2,𣻤,,,GKX-0648.09,keep unify
1838,1-3,𤍩,,,TF-5024,keep unify
1838,2-1,𧕕,,,GKX-1103.29,keep unify
1838,2-2,𧬟,,,GHZ-64018.09,keep unify
1838,2-3,𧵁,,,TF-385F,keep unify
1838,2-4,𨭵,,,TF-686D,keep unify
1838,2-5,𩏻,,,T5-7C22,keep unify
1838,3-1,𩑐,,,GKX-1399.08,keep unify
1838,3-2,𩱒,,,T7-5666,keep unify
1838,3-3,𪂸,,,GKX-1494.15,keep unify
1838,3-4,𩧻,,,GCH,keep unify
1838,4-1,𣗱,,,V0-354D,V glyph update
1838,4-2,𨖙,,,V4-5565,keep unify
1838,4-3,𠢅,,,T5-3669,keep unify
1838,4-4,𡼒,,,T5-4C6E,T move 𡼒 to 𡼬
1838,5-1,𤪊,,,V2-7C66,keep unify
1838,5-2,𤼕,,,V2-7D5A,keep unify
1838,5-3,𥂉,,,V2-7D6B,keep unify
1838,5-4,𪛀,,,GKX-1538.20,keep unify
1838,6-1,𢤶,,,T5-6777,keep unify
1838,6-2,𨌡,,,T6-632A,keep unify
1838,6-3,𢮣,,,GKX-0440.17,keep unify
1838,6-4,𣀣,,,T5-6C34,keep unify
1838,6-5,𤈩,,,GKX-0672.02,keep unify
1838,7-1,𥮈,,,V3-364B,keep unify
1854,1-1,𨩌,,,MAC00024,unified
1854,1-2,𠿮,,,MAC00030,unified
1854,1-3,𡛩,,,MAC00075,unified
1854,1-4,啚,,,MAC00079,unified
1854,1-5,~𡩴,,,MAC00083,unified
1854,1-6,~衆,⿱丿𬑔,,MAC00087,unified
1854,1-7,𢊈,,,MAC00117,unified
1854,1-8,~養,,,MAC00121,unified
1854,1-9,𭒨,,,MAC00123,unified
1854,1-10,~沗,⿱天水,,MAC00130,unified
1854,1-11,𪸛,,,MAC00131,unified
1854,1-12,~剆,⿰良刂,,MAC00132,unified
1854,2-1,廸,,,MAC00089,unified
1854,2-2,𬞆,,,MAC00013,missing in E
1854,2-3,𬁝,,,MAC00062,missing in E
1854,2-4,𡊐,,,MAC00077,missing in E
1854,2-5,~㛇,⿸㚧𡈽,,MAC00081,missing in E
1854,2-6,~𠲘,⿱𦍌口,,MAC00082,missing in E
1854,2-7,,⿰木已,,MAC00120,missing in E
1854,2-8,,⿱艹已,,MAC00125,missing in E
1857,2-1,㐌,,,K6-1000,repertoire
1857,2-2,亻,,,K6-1001,repertoire
1857,2-3,倸,,,K6-1002,repertoire
1857,2-4,㓁,,,K6-1003,repertoire
1857,2-5,㖠,,,K6-1004,repertoire
1857,2-6,啫,,,K6-1005,repertoire
1857,2-7,𡲰,,,K6-1006,repertoire
1857,2-8,𡱁,,,K6-1007,repertoire
1857,2-9,屰,,,K6-1008,repertoire
1857,2-10,巠,,,K6-1009,repertoire
1857,2-11,𢄼,,,K6-100A,repertoire
1857,2-12,廰,,,K6-100B,repertoire
1857,2-13,𢈴,,,K6-100C,repertoire
1857,2-14,𢐧,,,K6-100D,repertoire
1857,2-15,𢏆,,,K6-100E,repertoire
1857,2-16,𢏳,,,K6-100F,repertoire
1857,2-17,𢏮,,,K6-1010,repertoire
1857,2-18,㣺,,,K6-1011,repertoire
1857,2-19,𢠵,,,K6-1012,repertoire
1857,3-20,𢢜,,,K6-1013,repertoire
1857,3-21,𢜫,,,K6-1014,repertoire
1857,3-22,㬉,,,K6-1015,repertoire
1857,3-23,榠,,,K6-1016,repertoire
1857,3-24,桒,,,K6-1017,repertoire
1857,3-25,𣑿,,,K6-1018,repertoire
1857,3-26,㮈,,,K6-1019,repertoire
1857,3-27,㮋,,,K6-101A,repertoire
1857,3-28,欵,,,K6-101B,repertoire
1857,3-29,氊,,,K6-101C,repertoire
1857,3-30,氺,,,K6-101D,repertoire
1857,3-31,𣶏,,,K6-101E,repertoire
1857,3-32,𣷯,,,K6-101F,repertoire
1857,3-33,黙,,,K6-1020,repertoire
1857,3-34,焴,,,K6-1021,repertoire
1857,3-35,㺬,,,K6-1022,repertoire
1857,3-36,𤥭,,,K6-1023,repertoire
1857,3-37,㽋,,,K6-1024,repertoire
1857,4-38,㼚,,,K6-1025,repertoire
1857,4-39,𤭁,,,K6-1026,repertoire
1857,4-40,𤭛,,,K6-1027,repertoire
1857,4-41,畱,,,K6-1028,repertoire
1857,4-42,𤸯,,,K6-1029,repertoire
1857,4-43,㿗,,,K6-102A,repertoire
1857,4-44,㾏,,,K6-102B,repertoire
1857,4-45,痩,,,K6-102C,repertoire
1857,4-46,皡,,,K6-102D,repertoire
1857,4-47,皂,,,K6-102E,repertoire
1857,4-48,睱,,,K6-102F,repertoire
1857,4-49,𥔰,,,K6-1030,repertoire
1857,4-50,磗,,,K6-1031,repertoire
1857,4-52,硡,,,K6-1033,repertoire
1857,4-53,硭,,,K6-1034,repertoire
1857,4-54,䈇,,,K6-1035,repertoire
1857,4-55,䂺,,,K6-1036,repertoire
1857,4-56,𥛚,,,K6-1037,repertoire
1857,5-57,䄠,,,K6-1038,repertoire
1857,5-58,祦,,,K6-1039,repertoire
1857,5-59,𥟅,,,K6-103A,repertoire
1857,5-60,𥧔,,,K6-103B,repertoire
1857,5-61,𥪁,,,K6-103C,repertoire
1857,5-62,篘,,,K6-103D,repertoire
1857,5-63,𥴩,,,K6-103E,repertoire
1857,5-64,簶,,,K6-103F,repertoire
1857,5-65,𥬯,,,K6-1040,repertoire
1857,5-66,䇭,,,K6-1041,repertoire
1857,5-67,䈜,,,K6-1042,repertoire
1857,5-68,𥸴,,,K6-1043,repertoire
1857,5-69,𥻓,,,K6-1044,repertoire
1857,5-70,絕,,,K6-1045,repertoire
1857,5-71,𫃵,,,K6-1046,repertoire
1857,5-72,缹,,,K6-1047,repertoire
1857,5-73,䍽,,,K6-1048,repertoire
1857,5-74,羐,,,K6-1049,repertoire
1857,6-75,𦍩,,,K6-104A,repertoire
1857,6-76,𦐄,,,K6-104B,repertoire
1857,6-77,翓,,,K6-104C,repertoire
1857,6-78,𦕠,,,K6-104D,repertoire
1857,6-79,𦖋,,,K6-104E,repertoire
1857,6-80,𦞦,,,K6-104F,repertoire
1857,6-81,肶,,,K6-1050,repertoire
1857,6-82,𦚞,,,K6-1051,repertoire
1857,6-83,䑔,,,K6-1052,repertoire
1857,6-84,蓗,,,K6-1053,repertoire
1857,6-85,蕂,,,K6-1054,repertoire
1857,6-86,䔿,,,K6-1055,repertoire
1857,6-87,𦼫,,,K6-1056,repertoire
1857,6-88,𧀰,,,K6-1057,repertoire
1857,6-89,𧃐,,,K6-1058,repertoire
1857,6-90,苄,,,K6-1059,repertoire
1857,6-91,𧐋,,,K6-105A,repertoire
1857,6-92,𧐖,,,K6-105B,repertoire
1857,7-93,𧑅,,,K6-105C,repertoire
1857,7-94,𧓕,,,K6-105D,repertoire
1857,7-95,𧉧,,,K6-105E,repertoire
1857,7-96,蚭,,,K6-105F,repertoire
1857,7-97,䖹,,,K6-1060,repertoire
1857,7-98,䗐,,,K6-1061,repertoire
1857,7-99,𧞤,,,K6-1062,repertoire
1857,7-100,𧘐,,,K6-1063,repertoire
1857,7-101,𧴖,,,K6-1064,repertoire
1857,7-102,𧸘,,,K6-1065,repertoire
1857,7-103,𧵅,,,K6-1066,repertoire
1857,7-104,𧿫,,,K6-1067,repertoire
1857,7-105,遅,,,K6-1068,repertoire
1857,7-106,𨠒,,,K6-1069,repertoire
1857,7-107,𨪏,,,K6-106A,repertoire
1857,7-108,𨫏,,,K6-106B,repertoire
1857,7-109,𨬋,,,K6-106C,repertoire
1857,7-110,䥷,,,K6-106D,repertoire
1857,8-111,鑹,,,K6-106E,repertoire
1857,8-112,鋄,,,K6-106F,repertoire
1857,8-113,𨧫,,,K6-1070,repertoire
1857,8-114,𨴑,,,K6-1071,repertoire
1857,8-115,𨺗,,,K6-1072,repertoire
1857,8-116,𨾚,,,K6-1073,repertoire
1857,8-117,𩌬,,,K6-1074,repertoire
1857,8-118,𩍘,,,K6-1075,repertoire
1857,8-119,𩊓,,,K6-1076,repertoire
1857,8-120,鞨,,,K6-1077,repertoire
1857,8-121,䪿,,,K6-1078,repertoire
1857,8-122,𩓐,,,K6-1079,repertoire
1857,8-123,𩟐,,,K6-107A,repertoire
1857,8-124,飲,,,K6-107B,repertoire
1857,8-125,𩜵,,,K6-107C,repertoire
1857,8-126,𩜶,,,K6-107D,repertoire
1857,8-127,𩜼,,,K6-107E,repertoire
1857,8-128,𩥮,,,K6-107F,repertoire
1857,8-129,𩦷,,,K6-1080,repertoire
1857,9-130,驝,,,K6-1081,repertoire
1857,9-131,𩢷,,,K6-1082,repertoire
1857,9-132,䯪,,,K6-1083,repertoire
1857,9-133,䰐,,,K6-1084,repertoire
1857,9-134,䱶,,,K6-1085,repertoire
1857,9-135,𩻛,,,K6-1086,repertoire
1857,9-136,𩻣,,,K6-1087,repertoire
1857,9-137,鯮,,,K6-1088,repertoire
1857,9-138,𪃿,,,K6-1089,repertoire
1857,9-139,䳺,,,K6-108A,repertoire
1857,9-140,鷙,,,K6-108B,repertoire
1857,9-141,𪆁,,,K6-108C,repertoire
1857,9-142,𩾚,,,K6-108D,repertoire
1857,9-143,𩿨,,,K6-108E,repertoire
1857,9-144,𪀗,,,K6-108F,repertoire
1857,9-145,䳓,,,K6-1090,repertoire
1857,9-146,𪁿,,,K6-1091,repertoire
1857,9-147,黋,,,K6-1092,repertoire
1857,9-148,𪑩,,,K6-1093,repertoire
1857,10-149,𪓐,,,K6-1094,repertoire
1857,10-150,𪓟,,,K6-1095,repertoire
1857,10-151,𪚰,,,K6-1096,repertoire
1857,10-152,郎,,,K6-0000,repertoire
1857,10-153,驇,,,K6-0001,repertoire
1857,10-154,慎,,,K6-0002,repertoire
1857,10-155,𠿒,,,K6-0003,repertoire
1858,7-1,𮟥,,SAT@T0158_.03.0273c29,SAT00002,evidence
1858,8-1,𮞉,,SAT@T0206_.04.0513c25,SAT00003,evidence
1858,9-1,𮌼,,SAT@T1548_.28.0578c06,SAT00007,evidence
1858,10-1,𮌣,,SAT@T1549_.28.0763c01,SAT00009,evidence
1858,11-1,𱦗,,SAT@T0100_.02.0424a24,SAT00600,evidence
1859,4-1,~𣍄,,GKX@《康熙字典》，第 1393 页。,GKX-1393.07,evidence
1859,4-2,~𣝖,𫤳,GKX@《康熙字典》，第 1393 页。,GKX-1393.26,evidence
1859,4-3,~𦸕,𫦚,GKX@《康熙字典》，第 589 页。,GKX-0589.07,evidence
1859,5-1,~𠤙,⿱九𠧢,GKX@《康熙字典》，第 349 页。,GKX-0349.26,evidence
1859,5-2,~𠧤,⿺㇉𠧧,GKX@《康熙字典》，第 81 页。,GKX-0081.14,evidence
1859,5-3,~𣨦,,GKX@《康熙字典》，第 584 页。,GKX-0584.12,evidence
1859,6-1,~𡅖,𮊶,GKX@《康熙字典》，第 1612 页。,GKX-1612.27,evidence
1859,6-2,~𠣸,𰋏,GKX@《康熙字典》，第 369 页。,GKX-0369.24,evidence
1866,2-1,𮱋,,"this@葛~, ge xiao",,evidence
1881,1-1,,⿰急衆,,V04-486A,withdraw
1894,1-1,𨩌,,,MAC00024,no withdraw
1894,1-2,𠿮,,,MAC00030,unified
1894,1-3,𡊐,,,MAC00077,unified
1894,2-4,~㛇,⿸㚧𡈽,,MAC00081,unified
1894,2-5,~𠲘,⿱𦍌口,,MAC00082,unified
1894,2-6,~啗,,,MAC00115,unified
1894,2-7,~杞,⿰木已,,MAC00120,unified
1894,2-8,~芑,⿱艹已,,MAC00125,unified
1894,2-9,~衆,,,MAC00126,unified
1894,2-10,~隶,,,MAC00127,unified
1905,2-1,𦱳,⿶凵兹,,GKX-0642.17,unified
1905,8-1,~𡅖,𮊶,,GKX-1612.27,unified
1907,1-1,𬼂,,,JMJ-056850,no withdraw
1907,1-2,𬻿,,,JMJ-056853,no withdraw
1907,1-3,𭚥,,,JMJ-057460,no withdraw
1907,1-4,𭤪,,,JMJ-057632,no withdraw
1907,1-5,𭥟,,,JMJ-057652,no withdraw
1907,1-6,𭁇,,,JMJ-058412,no withdraw
1907,1-7,𭍻,,,JMJ-059446,no withdraw
1914,1-1,~禦,,,T15-2372,"li, not kai"
1914,1-2,𲀡,,,T15-237A,"li, not kai"
1914,2-1,~𥙯,,,T14-266F,questionable
1914,2-2,𰰥,,,T14-633D,"zhuan, not kai"
1924,2-1,~才,,,JMJ-059295,unified
1924,2-2,~𫝁,,,JMJ-059299,unified
1924,2-3,~典,,,JMJ-056983,unified
1924,2-4,~匋,,,JMJ-057082,unified
1924,2-5,~𠫤,,,JMJ-057125,unified
1924,2-6,~𠯌,,,JMJ-057146,unified
1924,2-7,~𫝢,,,JMJ-059474,unified
1924,2-8,~𡧱,,,JMJ-057330,unified
1924,2-9,~𫞬,,,JMJ-059920,unified
1924,3-1,~䕲,,,JMJ-004221,unified
1924,3-2,~譓,,,JMJ-060190,unified
1924,3-3,~迳,,,JMJ-058848,unified
1924,4-1,𫧤,,,JMJ-059400,unified
1924,4-2,𫯹,,,JMJ-057814,unified
1924,4-3,𬆕,,,JMJ-057906,unified
1924,4-4,𫨻,,,JMJ-057915,unified
1924,4-5,𬆲,,,JMJ-059768,unified
1924,4-6,𬈬,,,JMJ-059808,unified
1924,4-7,𬎨,,,JMJ-041198,unified
1924,4-8,𬹵,,,JMJ-059283,unified
1924,5-1,~𬽌,,,JMJ-056862,unified
1924,5-2,~𭐣,,,JMJ-057257,unified
1924,5-3,~𫯱,,,JMJ-059483,unified
1924,5-4,~㝠,⿱宀𰥍,,JMJ-057336,unified
1924,5-5,~𭽁,,,JMJ-058132,unified
1924,5-6,~𮏀,,,JMJ-060108,unified
1925,2-1,,⿱亠儿,,Z_SAT60006,withdraw
1925,2-2,,⿱乍人,,Z_SAT05108,withdraw
1925,2-3,~儜,,,Z_SAT02826,withdraw
1925,2-4,~卨,,,Z_SAT60041,withdraw
1925,2-5,,⿱與电,,Z_SAT04919,withdraw
1925,2-6,,⿱㝉𥃦,,Z_SAT02459,withdraw
1925,2-7,~寡,,,Z_SAT01982,withdraw
1925,2-8,,⿱工爪,,Z_SAT02560,withdraw
1925,3-1,,⿰号帝,,Z_SAT02522,withdraw
1925,3-2,~惱,,,Z_SAT60111,withdraw
1925,3-3,~懜,,,Z_SAT02451,withdraw
1925,3-4,~煞,,,Z_SAT60134,withdraw
1925,3-5,,⿱來木,,Z_SAT03409,withdraw
1925,3-6,,⿸𰗓畢,,Z_SAT01552,withdraw
1925,3-7,~㰜,⿰槙貝,,Z_SAT05723,withdraw
1925,3-8,,⿰木𤓟,,Z_SAT02681,withdraw
1925,3-9,~㲉,,,Z_SAT03567,withdraw
1925,4-1,,⿰巳民,,Z_SAT01984,withdraw
1925,4-2,~沗,,,Z_SAT60182,withdraw
1925,4-3,~暴,,,Z_SAT00058,withdraw
1925,4-4,,⿰𣵀合,,Z_SAT08610,withdraw
1925,4-5,~𭈹,,,Z_SAT02198,withdraw
1925,4-6,,⿰犭𦍒,,Z_SAT01729,withdraw
1925,4-7,~碧,⿱珀升,,Z_SAT04306,withdraw
1925,4-8,,⿱凃瓦,,Z_SAT03566,withdraw
1925,4-9,,⿱軗疋,,Z_SAT05220,withdraw
1925,5-1,~癮,,,Z_SAT60221,withdraw
1925,5-2,,⿰目左,,Z_SAT01002,withdraw
1925,5-3,𱲹,,,Z_SAT02653,withdraw
1925,5-4,~睠,,,Z_SAT60230,withdraw
1925,5-5,礡,,,Z_SAT01197,withdraw
1925,5-6,,⿰礻執,,Z_SAT60237,withdraw
1925,5-7,𮂺,,,Z_SAT60238,withdraw
1925,5-8,,⿰秀責,,Z_SAT07102,withdraw
1925,5-9,,⿱穴杸,,Z_SAT05027,withdraw
1925,6-1,~䋦,,,Z_SAT60266,withdraw
1925,6-2,~綣,,,Z_SAT60273,withdraw
1925,6-3,~耽,⿰耳穴,,Z_SAT03654,withdraw
1925,6-4,~䏈,,,Z_SAT60286,withdraw
1925,6-5,,⿱與禺,,Z_SAT05160,withdraw
1925,6-6,,⿰舊具,,Z_SAT01299,withdraw
1925,6-7,~荒,,,Z_SAT60305,withdraw
1925,6-8,~筋,⿱艸𰮂,,Z_SAT00037,withdraw
1925,6-9,~藝,,,Z_SAT60322,withdraw
1925,7-1,𮒨,,,Z_SAT60321,withdraw
1925,7-2,孽,,,Z_SAT04821,withdraw
1925,7-3,蘧,,,Z_SAT60361,withdraw
1925,7-4,~𲀈,𧑰,,Z_SAT60333,withdraw
1925,7-5,蠟,,,Z_SAT60334,withdraw
1925,7-6,~𭮧,,,Z_SAT60358,withdraw
1925,7-7,,⿺辶苟,,Z_SAT01418,withdraw
1925,7-8,~𧀹,,,Z_SAT02663,withdraw
1925,7-9,𨚿,,,Z_SAT60362,withdraw
1925,8-1,~闒,⿵門昻,,Z_SAT04946,withdraw
1925,8-2,~𨻶,,,Z_SAT60374,withdraw
1925,8-3,~𩟘,⿰飠烝,,Z_SAT01589,withdraw
1925,8-4,~驝,,,Z_SAT06917,withdraw
1925,8-5,~鰥,,,Z_SAT02112,withdraw
1925,8-6,~䳇,⿰𮯱鳥,,Z_SAT01900,withdraw
1925,8-7,~𪁬,,,Z_SAT02191,withdraw
1925,8-8,~𪇔,,,Z_SAT60390,withdraw
1925,8-9,~麗,,,Z_SAT60395,withdraw
1925,9-1,𱋋,,,Z_SAT60397,withdraw
1925,9-2,~𪙍,⿰齒専,,Z_SAT01939,withdraw
1926,2-1,𭄖,,,Z_SAT03677,S glyph update
1926,2-2,~𮇬,⿰𠤕籴,,Z_SAT00771,S glyph update
1926,2-3,𭣫,,,Z_SAT05179,S glyph update
1926,2-4,𠶾,,,Z_SAT60314,S glyph update
1926,2-5,𭊹,,,Z_SAT60057,S glyph update
1926,2-6,𭋜,,,Z_SAT02677,S glyph update
1926,2-7,~𡂠,,,Z_SAT05290,S glyph update
1926,2-8,𭋦,,,Z_SAT05482,S glyph update
1926,3-1,𭌂,,,Z_SAT01635,S glyph update
1926,3-2,𭋝,,,Z_SAT04933,S glyph update
1926,3-3,𭌟,,,Z_SAT01692,S glyph update
1926,3-4,𭌖,,,Z_SAT03396,S glyph update
1926,3-5,𭌥,,,Z_SAT03979,S glyph update
1926,3-6,𭍉,,,Z_SAT04907,S glyph update
1926,3-7,𭐨,,,Z_SAT03491,S glyph update
1926,3-8,𭐵,,,Z_SAT03637,S glyph update
1926,3-9,𭷿,,,Z_SAT04388,S glyph update
1926,4-1,𭔥,,,Z_SAT04144,S glyph update
1926,4-2,𭔧,,,Z_SAT01333,S glyph update
1926,4-3,𭕳,,,Z_SAT01719,S glyph update
1926,4-4,𭕺,,,Z_SAT01718,S glyph update
1926,4-5,𭗡,,,Z_SAT01820,S glyph update
1926,4-6,,⿺包川,,Z_SAT03564,S glyph update
1926,4-7,𭙼,,,Z_SAT05417,S glyph update
1926,4-8,𭚳,,,Z_SAT05414,S glyph update
1926,4-9,𭛈,,,Z_SAT00327,S glyph update
1926,5-1,~帚,⿳⺕冖豕,,Z_SAT01059,S glyph update
1926,5-2,𭞱,,,Z_SAT05734,S glyph update
1926,5-3,𭟒,,,Z_SAT04046,S glyph update
1926,5-4,𭠃,,,Z_SAT04354,S glyph update
1926,5-5,𭡝,,,Z_SAT01909,S glyph update
1926,5-6,𭡉,,,Z_SAT02792,S glyph update
1926,5-7,𭢰,,,Z_SAT00653,S glyph update
1926,5-8,𭢳,,,Z_SAT01830,S glyph update
1926,5-9,𭢹,,,Z_SAT05341,S glyph update
1926,6-1,𫂵,,,Z_SAT05477,S glyph update
1926,6-2,𭦲,,,Z_SAT05177,S glyph update
1926,6-3,𭻡,,,Z_SAT04340,S glyph update
1926,6-4,~暨,⿱既且,,Z_SAT60139,S glyph update
1926,6-5,𭫠,,,Z_SAT00853,S glyph update
1926,6-6,𭬗,,,Z_SAT05476,S glyph update
1926,6-7,𭬩,,,Z_SAT04160,S glyph update
1926,6-8,𮫩,,,Z_SAT80641,S glyph update
1926,6-9,𭭅,,,Z_SAT01737,S glyph update
1926,7-1,𭯛,,,Z_SAT01747,S glyph update
1926,7-2,𭯝,,,Z_SAT05355,S glyph update
1926,7-3,𭰂,,,Z_SAT60181,S glyph update
1926,7-4,𭱻,,,Z_SAT01580,S glyph update
1926,7-5,𭲝,,,Z_SAT06395,S glyph update
1926,7-6,𭳭,,,Z_SAT00838,S glyph update
1926,7-7,濓,,,Z_SAT01739,S glyph update
1926,7-8,𭵔,,,Z_SAT02628,S glyph update
1926,7-9,𭶏,,,Z_SAT05372,S glyph update
1926,8-1,𰢎,,,Z_SAT03320,S glyph update
1926,8-2,𭺘,,,Z_SAT00072,S glyph update
1926,8-3,𮁿,,,Z_SAT60235,S glyph update
1926,8-4,𮂄,,,Z_SAT04387,S glyph update
1926,8-5,𮈻,,,Z_SAT02111,S glyph update
1926,8-6,𮉉,,,Z_SAT05328,S glyph update
1926,8-7,𮉐,,,Z_SAT60275,S glyph update
1926,8-8,𮉘,,,Z_SAT05003,S glyph update
1926,8-9,𭧀,,,Z_SAT03442,S glyph update
1926,9-1,𮋏,,,Z_SAT01855,S glyph update
1926,9-2,𮋥,,,Z_SAT05226,S glyph update
1926,9-3,𮌵,,,Z_SAT04041,S glyph update
1926,9-4,𮍃,,,Z_SAT05514,S glyph update
1926,9-5,𮍟,,,Z_SAT00271,S glyph update
1926,9-6,𮎬,,,Z_SAT03709,S glyph update
1926,9-7,𮏝,,,Z_SAT04971,S glyph update
1926,9-8,𮏷,,,Z_SAT03972,S glyph update
1926,9-9,𮏰,,,Z_SAT05460,S glyph update
1926,10-1,𮏨,,,Z_SAT60310,S glyph update
1926,10-2,𮐗,,,Z_SAT04122,S glyph update
1926,10-3,𮐺,,,Z_SAT03042,S glyph update
1926,10-4,𮑗,,,Z_SAT03974,S glyph update
1926,10-5,𮑯,,,Z_SAT05404,S glyph update
1926,10-6,𮑹,,,Z_SAT60318,S glyph update
1926,10-7,𮑾,,,Z_SAT02056,S glyph update
1926,10-8,𮗋,,,Z_SAT04924,S glyph update
1926,10-9,𮘬,,,Z_SAT04937,S glyph update
1926,11-1,𮚞,,,Z_SAT02554,S glyph update
1926,11-2,𮜨,,,Z_SAT05557,S glyph update
1926,11-3,𮟉,,,Z_SAT05735,S glyph update
1926,11-4,𮟛,,,Z_SAT04320,S glyph update
1926,11-5,𮠌,,,Z_SAT01926,S glyph update
1926,11-6,𮠇,,,Z_SAT02226,S glyph update
1926,11-7,𮣨,,,Z_SAT03991,S glyph update
1926,11-8,𮣼,,,Z_SAT03530,S glyph update
1926,11-9,𮤅,,,Z_SAT02147,S glyph update
1926,12-1,~𨴕,,,Z_SAT60372,S glyph update
1926,12-2,𮥭,,,Z_SAT02625,S glyph update
1926,12-3,𮧢,,,Z_SAT03085,S glyph update
1926,12-4,𮧡,,,Z_SAT04925,S glyph update
1926,12-5,𮪯,,,Z_SAT00324,S glyph update
1926,12-6,𮭂,,,Z_SAT05378,S glyph update
1926,12-7,𮬿,,,Z_SAT06651,S glyph update
1926,12-8,𮭚,,,Z_SAT02145,S glyph update
1926,12-9,𮮅,,,Z_SAT60396,S glyph update
1936,6-1,𰻞,,,UTC-00791,U UNC repertoire
1936,6-2,鿔,,,UTC-00953,U UNC repertoire
1936,6-3,鿕,,,UTC-00954,U UNC repertoire
1936,6-4,鿓,,,UTC-00957,U UNC repertoire
1936,6-5,鿒,,,UTC-00958,U UNC repertoire
1936,6-6,鿑,,,UTC-00959,U UNC repertoire
1936,6-7,𭈵,,,UTC-00960,U UNC repertoire
1936,6-8,𭊁,,,UTC-00961,U UNC repertoire
1936,6-9,𰇒,,,UTC-00962,U UNC repertoire
1936,6-10,𰇘,,,UTC-00963,U UNC repertoire
1936,6-11,𰇡,,,UTC-00964,U UNC repertoire
1936,6-12,𰈶,,,UTC-00965,U UNC repertoire
1936,6-13,𰈏,,,UTC-00966,U UNC repertoire
1936,6-14,𭉪,,,UTC-00967,U UNC repertoire
1936,6-15,𰈹,,,UTC-00968,U UNC repertoire
1936,7-1,鿏,,,UTC-01171,U UNC repertoire
1936,7-2,𰈒,,,UTC-01172,U UNC repertoire
1936,7-3,𭨒,,,UTC-01173,U UNC repertoire
1936,10-1,𰀂,,,UTC-00969,U UNC repertoire
1936,10-2,𰀈,,,UTC-00970,U UNC repertoire
1936,10-3,𰀉,,,UTC-00971,U UNC repertoire
